Name,SKU,Price,Description,Characteristics,hrefs,url
ТСУ /съемный квадрат/ OMODA C5 2022-,Арт. OMO-22-991122.00,11 990 руб.,"Тягово-сцепное устройство (фаркоп) со съемным квадратом для легкового автомобиля OMODA C5 2022- служит для буксировки прицепов автомобилем (тягачом). Компания ПТ ГРУПП производит фаркопы, установка которых осуществляется в выполненные автопроизводителем отверстия (без дополнительного сверления силовых элементов), что позволяет оптимально распределить нагрузку на кузов автомобиля.

Внимание! Эксплуатация фаркопа с затянутым фиксирующим болтом ЗАПРЕЩЕНА!","{'Производитель': 'PT GROUP', 'Марка авто': 'Omoda ', 'Модель авто': 'C5', 'Габариты': '99 х 50 х 21 см', 'Год выпуска авто': '2022, 2023', 'Объем в упаковке': '0,11 м³', 'Вес': '14,1кг', 'Материал': 'Сталь с полимерной порошковой краской', 'Максимальная масса прицепа по данным производителя ТСУ': '1500 кг', 'Гарантия': ' 12 месяцев', 'При монтаже съем бампера': 'Нет необходимости', 'Подрезка бампера': 'Не нужна', 'Тип шара': 'E'}","['https://ptuning.ru/upload/iblock/f9b/aw87l8p1giru8sc5bbl943910l5n7k0l.pdf', 'https://ptuning.ru/upload/iblock/f5c/dwngaur9ouwsz1b4roclpda3u2bpfopg.pdf']",https://ptuning.ru/catalog/farkopy_/tsu_semnyy_kvadrat_omoda_c5_2022/
ТСУ /Тип A/ горяч.оцинк./ FORD FOCUS 2011-2019,Арт. FFO-11-991528.00,8 200 руб.,"Тягово-сцепное устройство (фаркоп) тип А для легкового автомобиля FORD FOCUS 2011-2019   полностью оцинкованное и служит для буксировки прицепов автомобилем (тягачом). Компания ПТ ГРУПП производит фаркопы, при установке которых задействуется максимально возможное количество штатных (предусмотренных автопроизводителем) мест крепления, что позволяет оптимально распределить нагрузку на кузов автомобиля.","{'Производитель': 'PT GROUP', 'Марка авто': 'FORD', 'Модель авто': 'FOCUS', 'Максимальная нагрузка': '2000 кг ', 'Габариты': '122 х 78 х 28 см ', 'Объем в упаковке': '0,256 м3 ', 'Вес': '17 кг ', 'Материал': 'Горячая оцинковка', 'Гарантия': '24 месяца ', 'При монтаже съем бампера': 'Необходим', 'Подрезка бампера': 'Не нужна', 'Тип шара': 'A'}","['https://ptuning.ru/upload/iblock/296/xguptcaoo28aikj6hwz9lnmntwlb4dg8.pdf', 'https://ptuning.ru/upload/iblock/a6b/1523zoy9pg548nasoxb5qp7cwq6js0e1.pdf']",https://ptuning.ru/catalog/farkopy_/tsu_tip_a_goryach_otsink_ford_focus_2011_2019_/
ТСУ /съемный квадрат/ KIA Mohave 2020-,Арт. KMH-20-991122.00,11 490 руб.,"Тягово-сцепное устройство (фаркоп) со съемным квадратом для легкового автомобиля KIA Mohave 2020-  служит для буксировки прицепов автомобилем (тягачом). Компания ПТ ГРУПП производит фаркопы, при установке которых задействуется максимально возможное количество штатных (предусмотренных автопроизводителем) мест крепления, что позволяет оптимально распределить нагрузку на кузов автомобиля.

Внимание! Эксплуатация ТСУ (фаркопа) с затянутым фиксирующим болтом ЗАПРЕЩЕНА!","{'Производитель': 'PT GROUP', 'Марка авто': 'KIA', 'Модель авто': 'Mohave', 'Габариты': '117 х 39 х 34 см', 'Объем в упаковке': '0,155 м3', 'Вес': '16,1 кг', 'Материал': 'Сталь с полимерной порошковой краской', 'Максимальная масса прицепа по данным производителя ТСУ': '1500 кг ', 'Гарантия': '12 месяцев', 'При монтаже съем бампера': 'Необходим', 'Подрезка бампера': 'Не нужна', 'Тип шара': 'E'}",['https://ptuning.ru/upload/iblock/59e/9itrbxk804ytj3aj35rkbtuf902dmpkm.pdf'],https://ptuning.ru/catalog/farkopy_/tsu_semnyy_kvadrat_kia_mohave_2020/
ТСУ /тип А/ горяч.оцинк./ OMODA C5 2022-,Арт. OMO-22-991528.00,10 490 руб.,"Тягово-сцепное устройство (фаркоп) тип А для легкового автомобиля OMODA C5 2022-   полностью оцинкованное и служит для буксировки прицепов автомобилем (тягачом). Компания ПТ ГРУПП производит фаркопы, при установке которых задействуется максимально возможное количество штатных (предусмотренных автопроизводителем) мест крепления, что позволяет оптимально распределить нагрузку на кузов автомобиля.","{'Производитель': 'PT GROUP', 'Марка авто': 'CHERY, Omoda ', 'Модель авто': 'Omoda C5', 'Габариты': '99,3 х 48,5 х 18,5 см', 'Объем в упаковке': '0,085 м³', 'Вес': '14,2 кг ', 'Материал': 'Горячая оцинковка', 'Максимальная масса прицепа по данным производителя ТСУ': '1500 кг', 'Гарантия': '24 месяца', 'При монтаже съем бампера': 'Нет необходимости', 'Подрезка бампера': 'Не нужна', 'Тип шара': 'A'}","['https://ptuning.ru/upload/iblock/31f/bg18ikow0zp4106dwqkmn6rv89x8zkut.pdf', 'https://ptuning.ru/upload/iblock/dba/rp4uctjelx9dgx2tz6uwo8du334k031k.pdf']",https://ptuning.ru/catalog/farkopy_/tsu_tip_a_goryach_otsink_omoda_c5_2022/
ТСУ /съемный квадрат/ GWM Tank 500 2023-,Арт. GWS-23-991122.00,9 990 руб.,"Тягово-сцепное устройство (фаркоп) со съемным квадратом для легкового автомобиля GWM Tank 500 2023- служит для буксировки прицепов автомобилем (тягачом). Компания ПТ ГРУПП производит фаркопы, установка которых осуществляется в выполненные автопроизводителем отверстия (без дополнительного сверления силовых элементов), что позволяет оптимально распределить нагрузку на кузов автомобиля.

Внимание! Эксплуатация фаркопа с затянутым фиксирующим болтом ЗАПРЕЩЕНА!","{'Производитель': 'PT GROUP', 'Марка авто': 'GREAT WALL', 'Модель авто': 'Tank 500', 'Габариты': '14,8 х 32,2 х 20 см', 'Объем в упаковке': '0,0096 м³', 'Вес': '6,1 кг ', 'Материал': 'Сталь с полимерной порошковой краской', 'Максимальная масса прицепа по данным производителя ТСУ': '3025', 'Гарантия': '12 месяцев ', 'При монтаже съем бампера': 'Нет необходимости', 'Подрезка бампера': 'Не нужна', 'Тип шара': 'E'}","['https://ptuning.ru/upload/iblock/232/tepfyjrqz7b3cunl5swpe3ey570ji2um.pdf', 'https://ptuning.ru/upload/iblock/b2f/m4srvn87ieejant2mxeprfa6g1j50rdk.pdf']",https://ptuning.ru/catalog/farkopy_/tsu_semnyy_kvadrat_gwm_tank_500_2023/
ТСУ /съемный квадрат/ с НЕРЖ накладкой LEXUS GX 460 (Комплектация 4.6 AT Premium) 2021-,Арт. LGX-21-991122.00,13 900 руб.,"Тягово-сцепное устройство (фаркоп) с условно-съемным шаром (тип Е) для автомобиля LEXUS GX 460 с НЕРЖ накладкой служит для буксировки прицепов автомобилем (тягачом). Компания ПТ ГРУПП производит фаркопы, при установке которых задействуется максимально возможное количество штатных (предусмотренных автопроизводителем) мест крепления, что позволяет оптимально распределить нагрузку на кузов автомобиля.","{'Производитель': 'PT GROUP', 'Марка авто': 'LEXUS', 'Модель авто': 'GX 460', 'Габариты': '112 х 50,2 х 20,4 см', 'Объем в упаковке': '0,112 м3', 'Вес': ' 21,2 кг', 'Материал': 'Сталь с полимерной порошковой краской', 'Максимальная масса прицепа по данным производителя ТСУ': '3500 кг', 'Гарантия': '12 месяцев ', 'При монтаже съем бампера': 'Нет необходимости', 'Подрезка бампера': 'Не нужна', 'Тип шара': 'E'}","['https://ptuning.ru/upload/iblock/7a2/4t6pmcs7zziklq7rczv0jltmrjn2nebf.pdf', 'https://ptuning.ru/upload/iblock/ab3/lk5lshufwr8s5i59wswrzh034ban9gza.pdf']",https://ptuning.ru/catalog/farkopy_/tsu_semnyy_kvadrat_s_nerzh_nakladkoy_lexus_gx_460_komplektatsiya_4_6_at_premium_2021_/
ТСУ /съемный квадрат/ GWM Tank 300 2022-,Арт. GWT-22-991122.00,6 350 руб.,"Тягово-сцепное устройство (фаркоп) со съемным квадратом для легкового автомобиля GWM Tank 300_2022- служит для буксировки прицепов автомобилем (тягачом). Компания ПТ ГРУПП производит фаркопы, установка которых осуществляется в выполненные автопроизводителем отверстия (без дополнительного сверления силовых элементов), что позволяет оптимально распределить нагрузку на кузов автомобиля.

 Сроки отгрузки уточняйте по телефону у менеджера  интернет-магазина. 
Внимание! Эксплуатация фаркопа с затянутым фиксирующим болтом ЗАПРЕЩЕНА!","{'Производитель': 'PT GROUP', 'Марка авто': 'GREAT WALL', 'Модель авто': 'Tank 300', 'Габариты': '15 х 32 х 20 см', 'Объем в упаковке': '0,01 м³', 'Вес': '6,1 кг ', 'Материал': 'Сталь с полимерной порошковой краской', 'Максимальная масса прицепа по данным производителя ТСУ': '3000 кг', 'Гарантия': '12 месяцев', 'При монтаже съем бампера': 'Нет необходимости', 'Подрезка бампера': 'Не нужна', 'Тип шара': 'E'}","['https://ptuning.ru/upload/iblock/284/0cvwuvdsyln0hv0huaktypmvw11fkov7.pdf', 'https://ptuning.ru/upload/iblock/fd1/92e8kcbzzgdp7sxpahztuzgkaqpv2vul.pdf']",https://ptuning.ru/catalog/farkopy_/tsu_semnyy_kvadrat_gwm_tank_300_2022/
ТСУ /тип А/ горяч.оцинк./ Toyota Corolla 2019-,Арт. TCL-19-991528.00,8 950 руб.,"Тягово-сцепное устройство (фаркоп) тип А для легкового автомобиля Toyota Corolla 2019-  полностью оцинкованное и служит для буксировки прицепов автомобилем (тягачом). Компания ПТ ГРУПП производит фаркопы, при установке которых задействуется максимально возможное количество штатных (предусмотренных автопроизводителем) мест крепления, что позволяет оптимально распределить нагрузку на кузов автомобиля.","{'Производитель': 'PT GROUP', 'Марка авто': 'TOYOTA', 'Модель авто': 'Corolla', 'Габариты': '111,1 х 68,4 х 28,4 см ', 'Объем в упаковке': '0,211 м³', 'Вес': '15,2 кг ', 'Материал': 'Горячая оцинковка', 'Максимальная масса прицепа по данным производителя ТСУ': '1300 кг ', 'Гарантия': '24 месяца', 'При монтаже съем бампера': 'Необходим', 'Подрезка бампера': 'Не нужна', 'Тип шара': 'A'}","['https://ptuning.ru/upload/iblock/26e/jhpdxk3zmsqf1ng0s53hv2zy3mpruir3.pdf', 'https://ptuning.ru/upload/iblock/2a9/iomnrbga2zowr20fys3riguyud5h41rq.pdf']",https://ptuning.ru/catalog/farkopy_/tsu_tip_a_goryach_otsink_toyota_corolla_2019_/
ТСУ /тип F/ с НЕРЖ накладкой TOYOTA LC PRADO 150 2009-/ LC Prado 120 2002-2009/ LEXUS GX 460,Арт. TPR-02-991024.00,15 290 руб.,"Тягово-сцепное устройство (фаркоп) с условно-съемным шаром (тип F) для автомобиля TOYOTA LC PRADO 150 2009-/ LC Prado 120 2002-2009/ LEXUS GX 460 2010-2013  с НЕРЖ накладкой служит для буксировки прицепов автомобилем (тягачом). Компания ПТ ГРУПП производит фаркопы, при установке которых задействуется максимально возможное количество штатных (предусмотренных автопроизводителем) мест крепления, что позволяет оптимально распределить нагрузку на кузов автомобиля.","{'Производитель': 'PT GROUP', 'Марка авто': 'LEXUS, TOYOTA', 'Модель авто': 'GX 460, LC Prado 120, LC Prado 150', 'Габариты': '112 х  38 х 18 см ', 'Объем в упаковке': '0,076 м3', 'Вес': '13 кг', 'Материал': 'Сталь с полимерной порошковой краской', 'Максимальная масса прицепа по данным производителя ТСУ': '3500 кг ', 'Гарантия': '12 месяцев ', 'При монтаже съем бампера': 'Нет необходимости', 'Подрезка бампера': 'Не нужна', 'Тип шара': 'F'}","['https://ptuning.ru/upload/iblock/feb/za1k0kdk7geafprj538811izr58q6i4c.pdf', 'https://ptuning.ru/upload/iblock/bee/a8gr9qtgljd2xdkz016i2ty5o634qsmn.pdf']",https://ptuning.ru/catalog/farkopy_/tsu_tip_f_s_nerzh_nakladkoy_toyota_lc_prado_150_2009_lc_prado_120_2002_2009_lexus_gx_460/
ТСУ /тип А/ горяч.оцинк./ CHEVROLET COBALT 2019-,Арт. CHC-19-991528.00,8 100 руб.,"Тягово-сцепное устройство (фаркоп) тип А для легкового автомобиля CHEVROLET COBALT 2019-  полностью оцинкованное и служит для буксировки прицепов автомобилем (тягачом). Компания ПТ ГРУПП производит фаркопы, при установке которых задействуется максимально возможное количество штатных (предусмотренных автопроизводителем) мест крепления, что позволяет оптимально распределить нагрузку на кузов.","{'Производитель': 'PT GROUP', 'Марка авто': 'CHEVROLET', 'Модель авто': 'COBALT', 'Габариты': '92 x 30 x 22 см', 'Объем в упаковке': '0,060 м³', 'Вес': '16 кг ', 'Материал': 'Горячая оцинковка', 'Максимальная масса прицепа по данным производителя ТСУ': '1500 кг ', 'Гарантия': '24 месяца ', 'При монтаже съем бампера': 'Нет необходимости', 'Подрезка бампера': 'Не нужна', 'Тип шара': 'A'}","['https://ptuning.ru/upload/iblock/f29/cr3bbm32g9fn40pa0b8mvk3obb9t98oy.pdf', 'https://ptuning.ru/upload/iblock/790/mjith2hio2if1w2kn7y3w9nesao6fcqw.pdf']",https://ptuning.ru/catalog/farkopy_/tsu_tip_a_goryach_otsink_chevrolet_cobalt_2019_/
